,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
69,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,MINUTES PLAYED,104
70,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,MINUTES PLAYED,109
71,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,MINUTES PLAYED,30
72,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,MINUTES PLAYED,264
73,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,MINUTES PLAYED,352
74,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,MINUTES PLAYED,374
75,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,MINUTES PLAYED,69
76,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,MINUTES PLAYED,320
77,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,MINUTES PLAYED,182
78,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,MINUTES PLAYED,400
79,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,MINUTES PLAYED,313
80,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,MINUTES PLAYED,163
81,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,MINUTES PLAYED,119
82,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,MINUTES PLAYED,109
83,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,MINUTES PLAYED,2
84,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,MINUTES PLAYED,202
85,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,MINUTES PLAYED,203
86,James Hume,Back,Ireland,Centre,23,1,Ulster,MINUTES PLAYED,51
87,James Lowe,Back,Ireland,Wing,29,10,Leinster,MINUTES PLAYED,240
88,James Ryan,Forward,Ireland,Lock,25,40,Leinster,MINUTES PLAYED,147
89,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,MINUTES PLAYED,1
90,Jamie George,Back,England,Hooker,31,61,Saracens,MINUTES PLAYED,282
91,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,MINUTES PLAYED,23
92,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,MINUTES PLAYED,59
93,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,MINUTES PLAYED,326
94,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,MINUTES PLAYED,135
95,Joe Launchbury,Forward,England,Lock,30,69,Wasps,MINUTES PLAYED,14
96,Joe Marchant,Back,England,Centre,25,7,Harlequins,MINUTES PLAYED,310
97,Joe Marler,Forward,England,Prop,31,74,Harlequins,MINUTES PLAYED,69
98,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,MINUTES PLAYED,155
99,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,MINUTES PLAYED,122
100,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,MINUTES PLAYED,250
101,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,MINUTES PLAYED,296
102,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,MINUTES PLAYED,94
103,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,MINUTES PLAYED,205
104,Josh Adams,Back,Wales,Wing,26,35, Cardiff,MINUTES PLAYED,305
105,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,MINUTES PLAYED,18
106,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,MINUTES PLAYED,156
107,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,MINUTES PLAYED,400
108,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,MINUTES PLAYED,395
109,Julien Marchand,Back,France,Hooker,26,16, Toulouse,MINUTES PLAYED,268
110,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,MINUTES PLAYED,96
111,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,MINUTES PLAYED,37
