,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
1132,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,DROP GOALS,0
1133,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,DROP GOALS,0
1134,Taine Basham,Forward,Wales,Back row,22,7, Dragons,DROP GOALS,0
1135,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,DROP GOALS,0
1136,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,DROP GOALS,0
1137,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,DROP GOALS,0
1138,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,DROP GOALS,0
1139,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,DROP GOALS,0
1140,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,DROP GOALS,0
1141,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,DROP GOALS,0
1142,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,DROP GOALS,0
1143,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,DROP GOALS,0
1144,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,DROP GOALS,0
1145,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,DROP GOALS,0
1146,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,DROP GOALS,0
1147,Will Stuart,Forward,England,Prop,25,15,Bath,DROP GOALS,0
1148,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,DROP GOALS,0
1149,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,DROP GOALS,0
1150,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,DROP GOALS,0
1151,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,DROP GOALS,0
1152,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,METRES MADE,32
1153,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,METRES MADE,78
1154,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,METRES MADE,4
1155,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,METRES MADE,54
1156,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,METRES MADE,319
1157,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,METRES MADE,281
1158,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,METRES MADE,189
1159,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,METRES MADE,10
1160,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,METRES MADE,25
1161,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,METRES MADE,0
1162,Andrew Conway,Back,Ireland,Wing,30,27,Munster,METRES MADE,106
1163,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,METRES MADE,77
1164,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,METRES MADE,16
1165,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,METRES MADE,211
1166,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,METRES MADE,148
1167,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,METRES MADE,239
1168,Ben Carter,Forward,Wales,Lock,21,5, Dragons,METRES MADE,5
1169,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,METRES MADE,10
1170,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,METRES MADE,56
1171,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,METRES MADE,26
1172,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,METRES MADE,134
1173,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,METRES MADE,87
1174,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,METRES MADE,0
1175,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,METRES MADE,209
1176,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,METRES MADE,289
1177,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,METRES MADE,28
1178,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,METRES MADE,19
1179,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,METRES MADE,32
1180,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,METRES MADE,73
1181,Charlie Ewels,Forward,England,Lock,26,26,Bath,METRES MADE,70
1182,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,METRES MADE,23
1183,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,METRES MADE,241
1184,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,METRES MADE,24
1185,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,METRES MADE,32
1186,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,METRES MADE,93
1187,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,METRES MADE,2
1188,Cyril Baille,Forward,France,Prop,28,31, Toulouse,METRES MADE,130
1189,Damian Penaud,Back,France,Wing,25,28, Clermont,METRES MADE,247
1190,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,METRES MADE,145
1191,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,METRES MADE,250
1192,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,METRES MADE,72
1193,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,METRES MADE,395
1194,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,METRES MADE,70
1195,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,METRES MADE,9
1196,Demba Bamba,Forward,France,Prop,23,20, Lyon,METRES MADE,29
1197,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,METRES MADE,132
1198,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,METRES MADE,29
1199,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,METRES MADE,227
1200,Dylan Cretin,Forward,France,Back row,24,13, Lyon,METRES MADE,61
1201,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,METRES MADE,198
1202,Elliot Daly,Back,England,Wing,29,52,Saracens,METRES MADE,155
1203,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,METRES MADE,274
1204,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,METRES MADE,19
1205,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,METRES MADE,64
1206,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,METRES MADE,110
1207,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,METRES MADE,24
1208,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,METRES MADE,135
1209,Francois Cros,Forward,France,Back row,27,11, Toulouse,METRES MADE,56
1210,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,METRES MADE,8
1211,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,METRES MADE,492
1212,Gabin Villiere,Back,France,Wing,26,8, Toulon,METRES MADE,261
1213,Gael Fickou,Back,France,Centre,27,66, Racing 92,METRES MADE,190
1214,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,METRES MADE,42
1215,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,METRES MADE,10
1216,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,METRES MADE,119
1217,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,METRES MADE,393
1218,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,METRES MADE,6
1219,George Furbank,Back,England,Fullback,25,5,Northampton Saints,METRES MADE,86
1220,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,METRES MADE,110
1221,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,METRES MADE,42
1222,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,METRES MADE,24
1223,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,METRES MADE,4
1224,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,METRES MADE,172
1225,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,METRES MADE,97
1226,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,METRES MADE,318
1227,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,METRES MADE,25
1228,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,METRES MADE,215
1229,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,METRES MADE,95
1230,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,METRES MADE,217
1231,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,METRES MADE,389
1232,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,METRES MADE,84
1233,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,METRES MADE,27
1234,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,METRES MADE,118
1235,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,METRES MADE,0
1236,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,METRES MADE,204
1237,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,METRES MADE,172
1238,James Hume,Back,Ireland,Centre,23,1,Ulster,METRES MADE,27
1239,James Lowe,Back,Ireland,Wing,29,10,Leinster,METRES MADE,441
1240,James Ryan,Forward,Ireland,Lock,25,40,Leinster,METRES MADE,65
1241,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,METRES MADE,0
1242,Jamie George,Back,England,Hooker,31,61,Saracens,METRES MADE,98
1243,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,METRES MADE,9
1244,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,METRES MADE,32
1245,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,METRES MADE,192
1246,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,METRES MADE,19
1247,Joe Launchbury,Forward,England,Lock,30,69,Wasps,METRES MADE,3
1248,Joe Marchant,Back,England,Centre,25,7,Harlequins,METRES MADE,209
1249,Joe Marler,Forward,England,Prop,31,74,Harlequins,METRES MADE,23
1250,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,METRES MADE,80
1251,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,METRES MADE,115
1252,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,METRES MADE,155
1253,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,METRES MADE,227
1254,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,METRES MADE,41
1255,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,METRES MADE,81
1256,Josh Adams,Back,Wales,Wing,26,35, Cardiff,METRES MADE,261
1257,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,METRES MADE,28
1258,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,METRES MADE,60
1259,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,METRES MADE,267
1260,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,METRES MADE,210
1261,Julien Marchand,Back,France,Hooker,26,16, Toulouse,METRES MADE,134
1262,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,METRES MADE,64
1263,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,METRES MADE,27
1264,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,METRES MADE,105
1265,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,METRES MADE,99
1266,Leon Brown,Forward,Wales,Prop,25,16, Dragons,METRES MADE,31
1267,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,METRES MADE,92
1268,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,METRES MADE,57
1269,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,METRES MADE,383
1270,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,METRES MADE,222
1271,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,METRES MADE,76
1272,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,METRES MADE,329
1273,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,METRES MADE,184
1274,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,METRES MADE,33
1275,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,METRES MADE,19
1276,Marco Zanon,Back,Italy,Centre,24,7, Benetton,METRES MADE,138
1277,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,METRES MADE,412
1278,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,METRES MADE,124
1279,Maro Itoje,Forward,England,Lock,27,51,Saracens,METRES MADE,153
1280,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,METRES MADE,173
1281,Matthis Lebel,Back,France,Wing,22,1, Toulouse,METRES MADE,0
1282,Max Malins,Back,England,Fullback,25,10,Saracens,METRES MADE,290
1283,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,METRES MADE,3
1284,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,METRES MADE,253
1285,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,METRES MADE,114
1286,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,METRES MADE,157
1287,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,METRES MADE,7
1288,Monty Ioane,Back,Italy,Wing,27,9, Benetton,METRES MADE,501
1289,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,METRES MADE,0
1290,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,METRES MADE,119
1291,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,METRES MADE,35
1292,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,METRES MADE,57
1293,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,METRES MADE,140
1294,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,METRES MADE,20
1295,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,METRES MADE,27
1296,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,METRES MADE,230
1297,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,METRES MADE,200
1298,Paul Willemse,Forward,France,Lock,29,19, Montpellier,METRES MADE,82
1299,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,METRES MADE,54
1300,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,METRES MADE,74
1301,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,METRES MADE,56
1302,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,METRES MADE,178
1303,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,METRES MADE,17
1304,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,METRES MADE,69
1305,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,METRES MADE,125
1306,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,METRES MADE,67
1307,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,METRES MADE,37
1308,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,METRES MADE,49
1309,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,METRES MADE,172
1310,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,METRES MADE,17
1311,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,METRES MADE,128
1312,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,METRES MADE,66
1313,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,METRES MADE,152
1314,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,METRES MADE,79
1315,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,METRES MADE,254
1316,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,METRES MADE,90
1317,Sam Underhill,Forward,England,Back row,25,27,Bath,METRES MADE,20
1318,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,METRES MADE,65
1319,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,METRES MADE,60
1320,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,METRES MADE,173
1321,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,METRES MADE,27
1322,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,METRES MADE,656
1323,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,METRES MADE,68
1324,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,METRES MADE,204
1325,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,METRES MADE,134
1326,Taine Basham,Forward,Wales,Back row,22,7, Dragons,METRES MADE,169
1327,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,METRES MADE,213
1328,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,METRES MADE,33
1329,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,METRES MADE,25
1330,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,METRES MADE,21
1331,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,METRES MADE,176
1332,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,METRES MADE,99
1333,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,METRES MADE,15
1334,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,METRES MADE,21
1335,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,METRES MADE,94
1336,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,METRES MADE,25
1337,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,METRES MADE,74
1338,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,METRES MADE,217
1339,Will Stuart,Forward,England,Prop,25,15,Bath,METRES MADE,74
1340,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,METRES MADE,18
1341,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,METRES MADE,66
1342,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,METRES MADE,188
1343,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,METRES MADE,108
1344,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,CARRIES,7
1345,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,CARRIES,21
1346,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,CARRIES,1
1347,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,CARRIES,11
1348,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,CARRIES,35
1349,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,CARRIES,42
1350,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,CARRIES,21
1351,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,CARRIES,2
1352,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,CARRIES,8
1353,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,CARRIES,0
1354,Andrew Conway,Back,Ireland,Wing,30,27,Munster,CARRIES,15
1355,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,CARRIES,13
1356,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,CARRIES,5
1357,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,CARRIES,23
1358,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,CARRIES,27
1359,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,CARRIES,37
1360,Ben Carter,Forward,Wales,Lock,21,5, Dragons,CARRIES,1
1361,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,CARRIES,2
1362,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,CARRIES,7
1363,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,CARRIES,7
1364,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,CARRIES,10
1365,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,CARRIES,11
1366,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,CARRIES,0
1367,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,CARRIES,34
1368,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,CARRIES,43
1369,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,CARRIES,4
1370,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,CARRIES,2
1371,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,CARRIES,4
1372,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,CARRIES,18
1373,Charlie Ewels,Forward,England,Lock,26,26,Bath,CARRIES,14
1374,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,CARRIES,5
1375,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,CARRIES,28
1376,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,CARRIES,7
1377,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,CARRIES,5
1378,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,CARRIES,19
1379,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,CARRIES,2
1380,Cyril Baille,Forward,France,Prop,28,31, Toulouse,CARRIES,27
1381,Damian Penaud,Back,France,Wing,25,28, Clermont,CARRIES,23
1382,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,CARRIES,22
1383,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,CARRIES,44
1384,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,CARRIES,20
1385,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,CARRIES,36
1386,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,CARRIES,13
1387,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,CARRIES,3
1388,Demba Bamba,Forward,France,Prop,23,20, Lyon,CARRIES,7
1389,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,CARRIES,28
1390,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,CARRIES,5
1391,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,CARRIES,17
1392,Dylan Cretin,Forward,France,Back row,24,13, Lyon,CARRIES,12
1393,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,CARRIES,29
1394,Elliot Daly,Back,England,Wing,29,52,Saracens,CARRIES,19
1395,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,CARRIES,39
1396,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,CARRIES,3
1397,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,CARRIES,4
1398,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,CARRIES,19
1399,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,CARRIES,7
1400,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,CARRIES,22
1401,Francois Cros,Forward,France,Back row,27,11, Toulouse,CARRIES,13
1402,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,CARRIES,4
1403,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,CARRIES,46
1404,Gabin Villiere,Back,France,Wing,26,8, Toulon,CARRIES,30
1405,Gael Fickou,Back,France,Centre,27,66, Racing 92,CARRIES,27
1406,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,CARRIES,7
1407,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,CARRIES,2
1408,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,CARRIES,26
1409,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,CARRIES,55
1410,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,CARRIES,1
1411,George Furbank,Back,England,Fullback,25,5,Northampton Saints,CARRIES,7
1412,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,CARRIES,18
1413,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,CARRIES,9
1414,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,CARRIES,7
1415,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,CARRIES,2
1416,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,CARRIES,28
1417,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,CARRIES,25
1418,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,CARRIES,65
1419,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,CARRIES,6
1420,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,CARRIES,34
1421,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,CARRIES,16
1422,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,CARRIES,31
1423,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,CARRIES,47
1424,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,CARRIES,19
1425,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,CARRIES,6
1426,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,CARRIES,14
1427,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,CARRIES,0
1428,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,CARRIES,32
1429,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,CARRIES,19
1430,James Hume,Back,Ireland,Centre,23,1,Ulster,CARRIES,4
1431,James Lowe,Back,Ireland,Wing,29,10,Leinster,CARRIES,39
1432,James Ryan,Forward,Ireland,Lock,25,40,Leinster,CARRIES,14
1433,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,CARRIES,0
1434,Jamie George,Back,England,Hooker,31,61,Saracens,CARRIES,17
1435,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,CARRIES,2
1436,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,CARRIES,6
1437,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,CARRIES,23
1438,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,CARRIES,6
1439,Joe Launchbury,Forward,England,Lock,30,69,Wasps,CARRIES,1
1440,Joe Marchant,Back,England,Centre,25,7,Harlequins,CARRIES,23
1441,Joe Marler,Forward,England,Prop,31,74,Harlequins,CARRIES,6
1442,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,CARRIES,12
1443,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,CARRIES,18
1444,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,CARRIES,27
1445,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,CARRIES,28
1446,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,CARRIES,6
1447,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,CARRIES,21
1448,Josh Adams,Back,Wales,Wing,26,35, Cardiff,CARRIES,27
1449,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,CARRIES,4
1450,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,CARRIES,12
1451,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,CARRIES,44
1452,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,CARRIES,29
1453,Julien Marchand,Back,France,Hooker,26,16, Toulouse,CARRIES,37
1454,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,CARRIES,13
1455,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,CARRIES,5
1456,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,CARRIES,29
1457,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,CARRIES,16
1458,Leon Brown,Forward,Wales,Prop,25,16, Dragons,CARRIES,8
1459,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,CARRIES,13
