,PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARDS,TEAM,POSITION,CAPS,CLUB/PROVINCE,AGE
41,Darcy Graham,400,2,1,0,0,0,395,36,50,44,9,1,19,0,21,10,1,1,1,3,2,4,1,0,1,0,0,0,Scotland,Wing,22, Edinburgh,24
42,Dave Kilcoyne,92,0,0,0,0,0,70,13,0,14,1,0,1,0,9,4,0,0,0,0,0,3,0,3,0,0,0,0,Ireland,Prop,45,Munster,33
43,David Sisi,44,0,0,0,0,0,9,3,0,10,7,0,0,0,11,1,0,0,0,1,1,0,0,0,2,0,0,0,Italy,Lock,18, Zebre Parma,29
44,Demba Bamba,88,0,0,0,0,0,29,7,0,9,2,0,0,1,11,1,0,0,1,1,1,5,1,1,0,0,0,0,France,Prop,20, Lyon,23
45,Dewi Lake,156,1,0,0,0,0,132,28,0,36,8,0,1,1,28,3,2,3,0,5,2,1,0,1,0,0,0,0,Wales,Hooker,0, Ospreys,22
46,Dillon Lewis,110,0,0,0,0,0,29,5,0,6,1,0,0,0,23,5,0,2,1,0,0,3,1,1,0,0,0,0,Wales,Prop,34, Cardiff,26
47,Duhan van der Merwe,239,1,0,0,0,0,227,17,45,19,3,1,9,1,4,2,1,0,1,4,1,2,0,0,0,0,0,0,Scotland,Wing,13, Worcester Warriors,26
48,Dylan Cretin,123,0,0,0,0,0,61,12,0,15,3,0,0,1,14,2,1,1,0,2,1,0,0,0,7,1,0,0,France,Back row,13, Lyon,24
49,Edoardo Padovani,387,1,1,0,3,0,198,29,542,52,24,2,2,0,20,9,1,0,1,4,0,1,0,0,0,0,0,0,Italy,Fullback,30, Benetton,28
50,Elliot Daly,282,1,1,0,0,0,155,19,188,33,16,2,2,0,20,9,2,0,1,4,3,0,0,0,0,0,0,0,England,Wing,52,Saracens,29
51,Ellis Genge,331,0,1,0,0,0,274,39,0,54,16,1,5,1,44,5,3,0,1,3,4,8,0,6,1,0,0,0,England,Prop,31,Leicester Tigers,26
52,Ellis Jenkins,52,0,0,0,0,0,19,3,0,11,8,0,1,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,Wales,Back row,14, Cardiff,28
53,Federico Mori,54,0,0,0,0,0,64,4,0,4,1,1,0,0,3,3,1,0,1,1,0,1,1,0,0,0,0,0,Italy,Wing,11, Bordeaux,21
54,Federico Ruzza,364,0,0,0,0,0,110,19,0,46,27,0,4,1,50,1,3,2,2,4,2,4,2,0,28,1,0,0,Italy,Lock,25, Benetton,27
55,Finlay Bealham,73,1,0,0,0,0,24,7,0,8,2,1,0,0,13,0,1,0,0,0,0,3,0,2,0,0,0,0,Ireland,Prop,18,Connacht,30
56,Finn Russell,300,0,3,6,7,0,135,22,1402,129,112,5,4,1,19,5,0,0,0,3,8,1,0,0,0,0,1,0,Scotland,Fly-half,58, Racing 92,29
57,Francois Cros,316,1,0,0,0,0,56,13,0,13,1,1,1,1,58,4,4,2,1,2,1,1,0,0,7,1,0,0,France,Back row,11, Toulouse,27
58,Fraser Brown,29,0,0,0,0,0,8,4,0,5,1,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,Scotland,Hooker,54, Glasgow Warriors,32
59,Freddie Steward,400,1,0,0,0,0,492,46,259,58,13,1,4,1,13,6,1,0,1,5,2,2,0,0,1,0,0,0,England,Fullback,5,Leicester Tigers,21
60,Gabin Villiere,320,3,0,0,0,0,261,30,95,37,9,2,11,3,14,2,1,4,2,5,4,3,0,0,0,0,0,0,France,Wing,8, Toulon,26
61,Gael Fickou,400,2,0,0,0,0,190,27,88,56,32,4,8,1,45,5,3,4,3,3,4,3,1,0,1,0,0,0,France,Centre,66, Racing 92,27
62,Gareth Anscombe,21,0,0,0,0,0,42,7,90,14,8,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Wales,Fly-half,29, Ospreys,30
63,Gareth Davies,89,0,0,0,0,0,10,2,352,90,88,0,0,1,9,1,0,0,0,1,2,0,0,0,0,0,0,0,Wales,Scrum-half,65, Scarlets,31
64,Gareth Thomas,192,0,0,0,0,0,119,26,0,29,3,0,0,1,32,3,1,1,0,2,1,2,0,1,0,0,0,0,Wales,Prop,5, Ospreys,28
65,Garry Ringrose,380,1,1,0,0,0,393,55,99,90,36,1,11,1,26,7,1,0,0,6,5,0,0,0,0,0,0,0,Ireland,Centre,37,Leinster,27
66,George Ford,28,0,0,0,0,0,6,1,0,8,7,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,England,Fly-half,77,Leicester Tigers,28
67,George Furbank,76,0,0,0,0,0,86,7,163,13,7,1,1,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,England,Fullback,5,Northampton Saints,25
68,George Turner,222,0,0,0,0,0,110,18,0,24,6,0,4,0,34,7,1,1,2,2,0,5,1,0,0,0,0,0,Scotland,Hooker,20, Glasgow Warriors,29
69,Giacomo Nicotera,104,0,0,0,0,0,42,9,0,14,5,0,0,0,21,6,0,1,0,2,0,2,0,0,0,0,0,0,Italy,Hooker,0, Benetton,25
70,Gianmarco Lucchesi,109,0,0,0,0,0,24,7,0,7,0,0,2,0,27,4,1,2,0,1,0,0,0,0,0,0,0,0,Italy,Hooker,8, Benetton,21
71,Giosue Zilocchi,30,0,0,0,0,0,4,2,0,2,0,0,0,0,4,0,1,0,0,0,0,1,0,1,1,0,0,0,Italy,Prop,15, Zebre Parma,25
72,Giovanni Pettinelli,264,0,0,0,0,0,172,28,0,39,14,3,3,1,37,3,3,4,1,1,2,1,0,0,4,2,0,0,Italy,Back row,1, Benetton,25
73,Grant Gilchrist,352,0,0,0,0,0,97,25,0,40,16,2,1,2,53,1,3,2,1,2,6,5,0,0,11,1,0,0,Scotland,Lock,48, Edinburgh,31
74,Gregory Alldritt,374,0,2,0,0,0,318,65,0,86,28,7,7,2,53,7,2,6,2,4,6,6,0,0,6,0,0,0,France,Back row,26, La Rochelle,24
75,Hame Faiva,69,0,0,0,0,0,25,6,0,7,1,0,1,0,16,0,3,0,0,1,0,1,0,0,0,0,0,1,Italy,Hooker,1, Benetton /  Rovigo Delta,27
76,Hamish Watson,320,0,0,0,0,0,215,34,0,44,13,3,8,1,70,0,1,1,1,2,2,2,0,0,0,0,0,0,Scotland,Back row,45, Edinburgh,30
77,Harry Randall,182,0,0,0,0,0,95,16,577,175,162,3,5,0,10,2,0,0,0,1,3,1,1,0,0,0,0,0,England,Scrum-half,2,Bristol Bears,24
78,Henry Slade,400,0,0,0,0,0,217,31,406,83,53,1,5,0,29,6,0,0,0,3,4,0,0,0,0,0,0,0,England,Centre,43,Exeter Chiefs,28
79,Hugo Keenan,313,1,0,0,0,0,389,47,337,73,29,3,7,2,11,5,0,0,2,7,2,1,0,0,0,0,0,0,Ireland,Fullback,16,Leinster,25
80,Iain Henderson,163,0,0,0,0,0,84,19,0,33,16,2,1,1,19,1,0,1,3,3,5,2,0,0,12,1,0,0,Ireland,Lock,65,Ulster,29
81,Ivan Nemer,119,0,0,0,0,0,27,6,0,12,6,0,2,0,26,2,0,0,1,1,1,0,0,0,0,0,0,0,Italy,Prop,3, Benetton,23
82,Jac Morgan,109,0,0,0,0,0,118,14,0,15,2,1,1,0,19,2,1,0,0,1,0,2,0,0,1,0,0,0,Wales,Back row,0, Ospreys,22
83,Jack Carty,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Ireland,Fly-half,10,Connacht,29
84,Jack Conan,202,1,0,0,0,0,204,32,24,43,14,3,4,0,19,2,0,1,1,1,0,1,0,0,2,0,0,0,Ireland,Back row,22,Leinster,29
85,Jack Nowell,203,0,0,0,0,0,172,19,95,22,4,1,5,1,20,3,1,1,0,2,1,1,0,0,1,0,0,0,England,Wing,34,Exeter Chiefs,28
86,James Hume,51,0,0,0,0,0,27,4,0,8,4,0,1,1,3,0,0,0,0,1,1,2,0,0,0,0,0,0,Ireland,Centre,1,Ulster,23
87,James Lowe,240,3,2,0,0,0,441,39,721,62,25,2,8,0,3,2,0,1,0,5,8,3,1,0,0,0,0,0,Ireland,Wing,10,Leinster,29
88,James Ryan,147,0,0,0,0,0,65,14,0,20,6,0,2,1,23,0,1,0,0,3,1,2,0,0,10,0,0,0,Ireland,Lock,40,Leinster,25
89,Jamie Blamire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,England,Hooker,5,Newcastle Falcons,24
90,Jamie George,282,2,0,0,0,0,98,17,0,24,9,2,1,0,36,6,2,2,0,1,0,1,0,0,0,1,0,0,England,Hooker,61,Saracens,31
91,Jamie Hodgson,23,0,0,0,0,0,9,2,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,Lock,3, Edinburgh,23
92,Jamie Ritchie,59,0,0,0,0,0,32,6,0,9,3,0,0,0,7,0,0,0,0,2,0,2,0,0,4,0,0,0,Scotland,Back row,31, Edinburgh,25
93,Jamison Gibson-Park,326,2,4,0,0,0,192,23,933,412,390,1,6,1,11,4,0,0,1,3,11,1,0,0,0,0,0,0,Ireland,Scrum-half,12,Leinster,29
94,Jean-Baptiste Gros,135,0,0,0,0,0,19,6,0,9,3,0,0,1,27,0,2,0,0,1,1,2,1,1,0,0,0,0,France,Prop,14, Toulon,22
95,Joe Launchbury,14,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,England,Lock,69,Wasps,30
96,Joe Marchant,310,0,0,0,0,0,209,23,22,31,10,2,6,1,28,2,0,2,0,4,3,2,1,0,0,0,0,0,England,Centre,7,Harlequins,25
97,Joe Marler,69,0,0,0,0,0,23,6,0,7,1,0,0,0,7,2,0,0,0,1,0,3,0,1,0,0,0,0,England,Prop,74,Harlequins,31
98,Joey Carbery,155,1,2,5,1,0,80,12,318,81,70,1,3,0,17,2,0,0,0,0,2,1,0,0,0,0,0,0,Ireland,Fly-half,27,Munster,26
99,Johnny McNicholl,122,0,0,0,0,0,115,18,263,32,17,3,3,2,4,1,0,1,0,2,4,2,0,0,0,0,0,0,Wales,Fullback,8, Scarlets,31
100,Johnny Sexton,250,0,2,13,3,0,155,27,275,142,120,5,7,0,25,2,1,2,1,2,7,3,0,0,0,0,0,0,Ireland,Fly-half,101,Leinster,36
101,Jonathan Danty,296,1,1,0,0,0,227,28,66,41,13,0,7,3,30,5,1,5,0,6,7,0,0,0,0,0,0,0,France,Centre,11, La Rochelle,29
102,Jonathan Davies,94,0,0,0,0,0,41,6,1,13,7,0,0,0,7,1,0,1,1,1,0,0,0,0,0,0,0,0,Wales,Centre,93, Scarlets,33
103,Jonny Gray,205,0,0,0,0,0,81,21,0,32,11,0,3,1,48,3,1,0,0,2,2,2,0,0,16,0,0,0,Scotland,Lock,64, Exeter Chiefs,27
104,Josh Adams,305,2,0,0,0,0,261,27,285,41,18,4,14,2,23,6,1,0,2,4,4,7,1,0,0,0,1,0,Wales,Wing,35, Cardiff,26
105,Josh Bayliss,18,0,0,0,0,0,28,4,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Scotland,Back row,2, Bath,24
106,Josh Navidi,156,0,0,0,0,0,60,12,0,17,5,0,1,0,20,3,0,3,0,0,0,0,0,0,0,0,0,0,Wales,Back row,28, Cardiff,31
107,Josh van der Flier,400,2,1,0,0,0,267,44,0,75,31,0,5,2,58,5,2,1,0,5,4,3,0,0,0,0,0,0,Ireland,Back row,35,Leinster,28
108,Juan Ignacio Brex,395,0,0,0,0,0,210,29,151,56,29,2,5,1,57,12,0,0,1,2,2,2,0,0,0,0,0,0,Italy,Centre,8, Benetton,29
109,Julien Marchand,268,0,1,0,0,0,134,37,0,47,12,2,3,1,20,2,0,3,0,3,2,2,1,0,0,0,0,0,France,Hooker,16, Toulouse,26
110,Kieran Hardy,96,1,0,0,0,0,64,13,236,141,128,0,1,1,11,1,1,0,1,2,4,0,0,0,0,0,0,0,Wales,Scrum-half,8, Scarlets,26
111,Kieran Treadwell,37,1,0,0,0,0,27,5,0,7,2,0,1,1,6,2,0,0,0,1,1,0,0,0,3,0,0,0,Ireland,Lock,3,Ulster,26
112,Kyle Sinckler,240,1,0,0,0,0,105,29,0,48,19,0,0,0,34,2,1,1,2,1,0,6,1,1,0,0,0,0,England,Prop,47,Bristol Bears,28
113,Kyle Steyn,160,0,1,0,0,0,99,16,99,20,5,1,2,2,8,8,3,0,2,5,4,2,1,0,0,0,0,0,Scotland,Wing,3, Glasgow Warriors,28
114,Leon Brown,73,0,0,0,0,0,31,8,0,9,2,1,0,0,12,0,2,0,0,0,1,2,1,1,0,0,0,0,Wales,Prop,16, Dragons,25
115,Leonardo Marin,251,0,0,0,0,0,92,13,208,39,27,1,3,0,27,6,0,0,0,5,2,1,0,0,0,0,0,0,Italy,Fly-half,0, Benetton,19
116,Lewis Ludlam,63,0,0,0,0,0,57,8,0,9,1,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0,0,0,England,Back row,10,Northampton Saints,26
117,Liam Williams,290,0,0,0,0,0,383,47,412,60,17,4,3,2,10,3,0,1,0,6,4,1,0,0,0,0,1,0,Wales,Fullback,74, Scarlets,30
118,Louis Rees-Zammit,255,0,0,0,0,0,222,24,384,29,7,1,10,2,13,7,1,1,0,5,4,0,0,0,0,0,0,0,Wales,Wing,12, Gloucester,21
119,Luke Cowan-Dickie,115,0,0,0,0,0,76,15,35,17,2,0,3,0,10,2,1,2,0,2,0,3,1,0,0,0,1,0,England,Hooker,31,Exeter Chiefs,28
120,Mack Hansen,320,1,1,0,0,0,329,37,271,54,24,7,5,2,18,2,2,1,2,6,3,1,0,0,0,0,0,0,Ireland,Wing,0,Connacht,23
121,Magnus Bradbury,168,0,0,0,0,0,184,28,0,39,12,1,1,0,21,0,1,0,0,3,1,1,0,0,4,0,0,0,Scotland,Back row,14, Edinburgh,26
122,Manuel Zuliani,42,0,0,0,0,0,33,4,0,4,1,0,0,0,7,0,1,1,0,0,1,1,0,0,1,0,0,0,Italy,Back row,0, Benetton,21
123,Marco Fuser,78,0,0,0,0,0,19,6,0,10,5,1,1,0,17,0,2,0,0,0,1,1,1,0,3,0,0,0,Italy,Lock,36, Newcastle Falcons,30
124,Marco Zanon,219,0,0,0,0,0,138,22,44,28,7,1,4,0,31,7,0,1,1,2,1,1,0,0,0,0,0,0,Italy,Centre,7, Benetton,24
125,Marcus Smith,383,2,1,5,17,0,412,40,980,166,129,3,10,0,29,6,0,0,2,1,3,1,0,0,0,0,0,0,England,Fly-half,5,Harlequins,22
126,Mark Bennett,59,0,0,0,0,0,124,12,0,18,6,0,4,0,3,0,0,0,0,1,3,0,0,0,1,0,0,0,Scotland,Centre,22, Edinburgh,29
127,Maro Itoje,400,1,0,0,0,0,153,37,0,57,21,2,1,2,39,11,3,6,6,4,5,7,1,0,23,0,0,0,England,Lock,51,Saracens,27
128,Matt Fagerson,235,0,0,0,0,0,173,32,0,39,8,1,7,0,36,1,0,4,0,2,1,1,0,0,5,1,0,0,Scotland,Back row,17, Glasgow Warriors,23
129,Matthis Lebel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Wing,1, Toulouse,22
130,Max Malins,320,0,2,0,0,0,290,29,35,38,14,5,7,1,22,4,2,0,0,7,5,1,0,0,1,0,0,0,England,Fullback,10,Saracens,25
131,Maxime Lucu,40,0,0,0,0,0,3,2,250,34,32,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,France,Scrum-half,2, Bordeaux,29
132,Melvyn Jaminet,382,0,2,9,12,0,253,40,1265,51,13,2,9,1,5,1,0,0,0,7,3,1,0,0,2,0,0,0,France,Fullback,6, Perpignan,22
133,Michael Lowry,80,2,1,0,0,0,114,13,0,18,5,0,3,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,Ireland,Fullback,0,Ulster,23
134,Michele Lamaro,377,0,0,0,0,0,157,28,71,45,20,3,1,0,86,15,2,2,1,2,1,2,0,0,4,0,0,0,Italy,Back row,10, Benetton,23
135,Mohamed Haouas,65,0,0,0,0,0,7,2,0,4,2,0,0,0,8,1,1,0,0,0,1,0,0,0,0,0,0,0,France,Prop,13, Montpellier,27
136,Monty Ioane,400,0,0,0,0,0,501,51,81,66,23,9,21,0,23,7,7,0,1,6,2,2,0,0,1,0,0,0,Italy,Wing,9, Benetton,27
137,Nic Dolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,England,Hooker,1,Leicester Tigers,22
138,Niccolo Cannone,280,0,0,0,0,0,119,23,0,35,12,0,5,0,62,4,2,0,0,0,0,4,1,0,6,0,0,0,Italy,Lock,15, Benetton,23
139,Nick Haining,43,0,0,0,0,0,35,6,0,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Scotland,Back row,10, Edinburgh,31
140,Nick Isiekwe,204,0,0,0,0,0,57,13,0,23,10,0,1,1,25,3,0,0,0,2,1,3,0,0,16,0,0,0,England,Lock,3,Saracens,23
141,Nick Tompkins,261,1,0,0,0,0,140,25,147,59,38,4,3,0,39,9,2,1,1,0,2,2,1,0,0,0,0,0,Wales,Centre,16, Saracens,26
142,Oli Kebble,19,0,0,0,0,0,20,3,0,4,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,Scotland,Prop,11, Glasgow Warriors,29
143,Ollie Chessum,33,0,0,0,0,0,27,3,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,England,Lock,0,Leicester Tigers,21
144,Owen Watkin,322,1,0,0,0,0,230,34,37,48,19,5,9,0,35,5,4,0,1,2,0,0,0,0,0,0,0,0,Wales,Centre,26, Ospreys,25
145,Paolo Garbisi,397,0,1,4,6,0,200,27,1787,99,72,0,3,1,45,7,0,1,1,6,4,3,1,0,1,0,0,0,Italy,Fly-half,13, Montpellier,21
146,Paul Willemse,292,1,0,0,0,0,82,17,0,23,6,0,1,1,47,8,6,2,0,2,1,3,0,0,5,1,0,0,France,Lock,19, Montpellier,29
147,Peato Mauvaka,132,0,0,0,0,0,54,7,0,8,3,2,1,1,10,0,0,1,0,1,1,2,0,0,0,0,0,0,France,Hooker,9, Toulouse,25
148,Peter O'Mahony,202,1,0,0,0,0,74,15,0,31,16,0,0,0,21,3,0,2,0,2,1,0,0,0,9,0,0,0,Ireland,Back row,79,Munster,32
149,Pierre Bruno,65,0,1,0,0,0,56,6,51,9,5,2,3,0,5,1,0,0,1,0,1,2,0,0,0,0,0,0,Italy,Wing,1, Zebre Parma,25
150,Pierre Schoeman,284,1,0,0,0,0,178,33,0,45,13,0,8,0,31,3,2,1,1,1,1,5,0,1,2,0,0,0,Scotland,Prop,4, Edinburgh,27
151,Pietro Ceccarelli,184,0,0,0,0,0,17,7,0,11,5,1,0,0,31,4,0,0,0,0,0,1,1,0,0,0,0,0,Italy,Prop,17, Brive,29
152,Rob Herring,56,0,0,0,0,0,69,8,0,13,5,0,1,0,7,1,0,0,0,1,2,1,0,0,0,0,0,0,Ireland,Hooker,23,Ulster,31
153,Robbie Henshaw,122,0,1,0,0,0,125,22,15,31,10,2,2,1,13,3,0,0,2,2,1,2,0,0,0,0,0,0,Ireland,Centre,53,Leinster,28
154,Romain Ntamack,400,0,4,1,0,0,67,14,1347,92,79,1,4,1,35,8,0,2,0,6,11,0,0,0,3,0,0,0,France,Fly-half,23, Toulouse,22
155,Romain Taofifenua,108,0,0,0,0,0,37,11,0,18,7,0,2,0,14,2,2,0,1,0,2,0,0,0,4,0,0,0,France,Lock,31, Lyon,31
