,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
55,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,TRIES,1,0.3333333333333333,Attack
56,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,TRIES,0,0.0,Attack
57,Francois Cros,Forward,France,Back row,27,11, Toulouse,TRIES,1,0.3333333333333333,Attack
58,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,TRIES,0,0.0,Attack
59,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,TRIES,1,0.3333333333333333,Attack
60,Gabin Villiere,Back,France,Wing,26,8, Toulon,TRIES,3,1.0,Attack
61,Gael Fickou,Back,France,Centre,27,66, Racing 92,TRIES,2,0.6666666666666666,Attack
62,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,TRIES,0,0.0,Attack
63,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,TRIES,0,0.0,Attack
64,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,TRIES,0,0.0,Attack
65,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,TRIES,1,0.3333333333333333,Attack
66,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,TRIES,0,0.0,Attack
67,George Furbank,Back,England,Fullback,25,5,Northampton Saints,TRIES,0,0.0,Attack
68,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,TRIES,0,0.0,Attack
69,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,TRIES,0,0.0,Attack
70,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,TRIES,0,0.0,Attack
71,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,TRIES,0,0.0,Attack
72,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,TRIES,0,0.0,Attack
73,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,TRIES,0,0.0,Attack
74,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,TRIES,0,0.0,Attack
75,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,TRIES,0,0.0,Attack
76,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,TRIES,0,0.0,Attack
77,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,TRIES,0,0.0,Attack
78,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,TRIES,0,0.0,Attack
79,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,TRIES,1,0.3333333333333333,Attack
80,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,TRIES,0,0.0,Attack
81,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,TRIES,0,0.0,Attack
82,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,TRIES,0,0.0,Attack
83,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,TRIES,0,0.0,Attack
84,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,TRIES,1,0.3333333333333333,Attack
85,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,TRIES,0,0.0,Attack
86,James Hume,Back,Ireland,Centre,23,1,Ulster,TRIES,0,0.0,Attack
87,James Lowe,Back,Ireland,Wing,29,10,Leinster,TRIES,3,1.0,Attack
88,James Ryan,Forward,Ireland,Lock,25,40,Leinster,TRIES,0,0.0,Attack
89,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,TRIES,0,0.0,Attack
90,Jamie George,Back,England,Hooker,31,61,Saracens,TRIES,2,0.6666666666666666,Attack
91,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,TRIES,0,0.0,Attack
92,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,TRIES,0,0.0,Attack
93,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,TRIES,2,0.6666666666666666,Attack
94,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,TRIES,0,0.0,Attack
95,Joe Launchbury,Forward,England,Lock,30,69,Wasps,TRIES,0,0.0,Attack
96,Joe Marchant,Back,England,Centre,25,7,Harlequins,TRIES,0,0.0,Attack
97,Joe Marler,Forward,England,Prop,31,74,Harlequins,TRIES,0,0.0,Attack
98,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,TRIES,1,0.3333333333333333,Attack
99,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,TRIES,0,0.0,Attack
100,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,TRIES,0,0.0,Attack
101,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,TRIES,1,0.3333333333333333,Attack
102,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,TRIES,0,0.0,Attack
103,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,TRIES,0,0.0,Attack
104,Josh Adams,Back,Wales,Wing,26,35, Cardiff,TRIES,2,0.6666666666666666,Attack
105,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,TRIES,0,0.0,Attack
106,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,TRIES,0,0.0,Attack
107,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,TRIES,2,0.6666666666666666,Attack
108,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,TRIES,0,0.0,Attack
109,Julien Marchand,Back,France,Hooker,26,16, Toulouse,TRIES,0,0.0,Attack
110,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,TRIES,1,0.3333333333333333,Attack
111,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,TRIES,1,0.3333333333333333,Attack
112,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,TRIES,1,0.3333333333333333,Attack
113,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,TRIES,0,0.0,Attack
114,Leon Brown,Forward,Wales,Prop,25,16, Dragons,TRIES,0,0.0,Attack
115,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,TRIES,0,0.0,Attack
116,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,TRIES,0,0.0,Attack
117,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,TRIES,0,0.0,Attack
118,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,TRIES,0,0.0,Attack
119,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,TRIES,0,0.0,Attack
120,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,TRIES,1,0.3333333333333333,Attack
121,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,TRIES,0,0.0,Attack
122,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,TRIES,0,0.0,Attack
123,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,TRIES,0,0.0,Attack
124,Marco Zanon,Back,Italy,Centre,24,7, Benetton,TRIES,0,0.0,Attack
125,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,TRIES,2,0.6666666666666666,Attack
126,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,TRIES,0,0.0,Attack
127,Maro Itoje,Forward,England,Lock,27,51,Saracens,TRIES,1,0.3333333333333333,Attack
128,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,TRIES,0,0.0,Attack
129,Matthis Lebel,Back,France,Wing,22,1, Toulouse,TRIES,0,0.0,Attack
130,Max Malins,Back,England,Fullback,25,10,Saracens,TRIES,0,0.0,Attack
131,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,TRIES,0,0.0,Attack
132,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,TRIES,0,0.0,Attack
133,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,TRIES,2,0.6666666666666666,Attack
134,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,TRIES,0,0.0,Attack
135,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,TRIES,0,0.0,Attack
136,Monty Ioane,Back,Italy,Wing,27,9, Benetton,TRIES,0,0.0,Attack
137,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,TRIES,0,0.0,Attack
138,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,TRIES,0,0.0,Attack
139,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,TRIES,0,0.0,Attack
140,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,TRIES,0,0.0,Attack
141,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,TRIES,1,0.3333333333333333,Attack
142,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,TRIES,0,0.0,Attack
