,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
1024,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,CARRIES,26,0.4,Attack
1025,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,CARRIES,55,0.8461538461538461,Attack
1026,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,CARRIES,1,0.015384615384615385,Attack
1027,George Furbank,Back,England,Fullback,25,5,Northampton Saints,CARRIES,7,0.1076923076923077,Attack
1028,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,CARRIES,18,0.27692307692307694,Attack
1029,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,CARRIES,9,0.13846153846153847,Attack
1030,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,CARRIES,7,0.1076923076923077,Attack
1031,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,CARRIES,2,0.03076923076923077,Attack
1032,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,CARRIES,28,0.4307692307692308,Attack
1033,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,CARRIES,25,0.38461538461538464,Attack
1034,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,CARRIES,65,1.0,Attack
1035,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,CARRIES,6,0.09230769230769231,Attack
1036,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,CARRIES,34,0.5230769230769231,Attack
1037,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,CARRIES,16,0.24615384615384617,Attack
1038,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,CARRIES,31,0.47692307692307695,Attack
1039,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,CARRIES,47,0.7230769230769231,Attack
1040,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,CARRIES,19,0.2923076923076923,Attack
1041,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,CARRIES,6,0.09230769230769231,Attack
1042,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,CARRIES,14,0.2153846153846154,Attack
1043,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,CARRIES,0,0.0,Attack
1044,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,CARRIES,32,0.49230769230769234,Attack
1045,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,CARRIES,19,0.2923076923076923,Attack
1046,James Hume,Back,Ireland,Centre,23,1,Ulster,CARRIES,4,0.06153846153846154,Attack
1047,James Lowe,Back,Ireland,Wing,29,10,Leinster,CARRIES,39,0.6,Attack
1048,James Ryan,Forward,Ireland,Lock,25,40,Leinster,CARRIES,14,0.2153846153846154,Attack
1049,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,CARRIES,0,0.0,Attack
1050,Jamie George,Back,England,Hooker,31,61,Saracens,CARRIES,17,0.26153846153846155,Attack
1051,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,CARRIES,2,0.03076923076923077,Attack
1052,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,CARRIES,6,0.09230769230769231,Attack
1053,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,CARRIES,23,0.35384615384615387,Attack
1054,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,CARRIES,6,0.09230769230769231,Attack
1055,Joe Launchbury,Forward,England,Lock,30,69,Wasps,CARRIES,1,0.015384615384615385,Attack
1056,Joe Marchant,Back,England,Centre,25,7,Harlequins,CARRIES,23,0.35384615384615387,Attack
1057,Joe Marler,Forward,England,Prop,31,74,Harlequins,CARRIES,6,0.09230769230769231,Attack
1058,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,CARRIES,12,0.18461538461538463,Attack
1059,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,CARRIES,18,0.27692307692307694,Attack
1060,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,CARRIES,27,0.4153846153846154,Attack
1061,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,CARRIES,28,0.4307692307692308,Attack
1062,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,CARRIES,6,0.09230769230769231,Attack
1063,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,CARRIES,21,0.3230769230769231,Attack
1064,Josh Adams,Back,Wales,Wing,26,35, Cardiff,CARRIES,27,0.4153846153846154,Attack
1065,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,CARRIES,4,0.06153846153846154,Attack
1066,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,CARRIES,12,0.18461538461538463,Attack
1067,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,CARRIES,44,0.676923076923077,Attack
1068,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,CARRIES,29,0.4461538461538462,Attack
1069,Julien Marchand,Back,France,Hooker,26,16, Toulouse,CARRIES,37,0.5692307692307692,Attack
1070,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,CARRIES,13,0.2,Attack
1071,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,CARRIES,5,0.07692307692307693,Attack
1072,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,CARRIES,29,0.4461538461538462,Attack
1073,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,CARRIES,16,0.24615384615384617,Attack
1074,Leon Brown,Forward,Wales,Prop,25,16, Dragons,CARRIES,8,0.12307692307692308,Attack
1075,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,CARRIES,13,0.2,Attack
1076,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,CARRIES,8,0.12307692307692308,Attack
1077,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,CARRIES,47,0.7230769230769231,Attack
1078,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,CARRIES,24,0.36923076923076925,Attack
1079,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,CARRIES,15,0.23076923076923078,Attack
1080,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,CARRIES,37,0.5692307692307692,Attack
1081,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,CARRIES,28,0.4307692307692308,Attack
1082,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,CARRIES,4,0.06153846153846154,Attack
1083,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,CARRIES,6,0.09230769230769231,Attack
1084,Marco Zanon,Back,Italy,Centre,24,7, Benetton,CARRIES,22,0.3384615384615385,Attack
1085,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,CARRIES,40,0.6153846153846154,Attack
1086,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,CARRIES,12,0.18461538461538463,Attack
1087,Maro Itoje,Forward,England,Lock,27,51,Saracens,CARRIES,37,0.5692307692307692,Attack
1088,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,CARRIES,32,0.49230769230769234,Attack
1089,Matthis Lebel,Back,France,Wing,22,1, Toulouse,CARRIES,0,0.0,Attack
1090,Max Malins,Back,England,Fullback,25,10,Saracens,CARRIES,29,0.4461538461538462,Attack
1091,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,CARRIES,2,0.03076923076923077,Attack
1092,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,CARRIES,40,0.6153846153846154,Attack
1093,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,CARRIES,13,0.2,Attack
1094,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,CARRIES,28,0.4307692307692308,Attack
1095,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,CARRIES,2,0.03076923076923077,Attack
1096,Monty Ioane,Back,Italy,Wing,27,9, Benetton,CARRIES,51,0.7846153846153846,Attack
1097,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,CARRIES,0,0.0,Attack
1098,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,CARRIES,23,0.35384615384615387,Attack
1099,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,CARRIES,6,0.09230769230769231,Attack
1100,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,CARRIES,13,0.2,Attack
1101,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,CARRIES,25,0.38461538461538464,Attack
1102,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,CARRIES,3,0.046153846153846156,Attack
1103,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,CARRIES,3,0.046153846153846156,Attack
1104,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,CARRIES,34,0.5230769230769231,Attack
1105,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,CARRIES,27,0.4153846153846154,Attack
1106,Paul Willemse,Forward,France,Lock,29,19, Montpellier,CARRIES,17,0.26153846153846155,Attack
1107,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,CARRIES,7,0.1076923076923077,Attack
1108,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,CARRIES,15,0.23076923076923078,Attack
1109,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,CARRIES,6,0.09230769230769231,Attack
1110,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,CARRIES,33,0.5076923076923077,Attack
1111,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,CARRIES,7,0.1076923076923077,Attack
1112,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,CARRIES,8,0.12307692307692308,Attack
1113,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,CARRIES,22,0.3384615384615385,Attack
1114,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,CARRIES,14,0.2153846153846154,Attack
1115,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,CARRIES,11,0.16923076923076924,Attack
1116,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,CARRIES,7,0.1076923076923077,Attack
1117,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,CARRIES,35,0.5384615384615384,Attack
1118,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,CARRIES,3,0.046153846153846156,Attack
1119,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,CARRIES,25,0.38461538461538464,Attack
1120,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,CARRIES,10,0.15384615384615385,Attack
1121,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,CARRIES,30,0.46153846153846156,Attack
1122,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,CARRIES,10,0.15384615384615385,Attack
1123,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,CARRIES,39,0.6,Attack
1124,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,CARRIES,16,0.24615384615384617,Attack
1125,Sam Underhill,Forward,England,Back row,25,27,Bath,CARRIES,5,0.07692307692307693,Attack
1126,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,CARRIES,14,0.2153846153846154,Attack
1127,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,CARRIES,14,0.2153846153846154,Attack
1128,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,CARRIES,19,0.2923076923076923,Attack
1129,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,CARRIES,13,0.2,Attack
1130,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,CARRIES,56,0.8615384615384616,Attack
1131,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,CARRIES,14,0.2153846153846154,Attack
1132,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,CARRIES,45,0.6923076923076923,Attack
1133,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,CARRIES,33,0.5076923076923077,Attack
1134,Taine Basham,Forward,Wales,Back row,22,7, Dragons,CARRIES,30,0.46153846153846156,Attack
1135,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,CARRIES,36,0.5538461538461539,Attack
1136,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,CARRIES,8,0.12307692307692308,Attack
1137,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,CARRIES,3,0.046153846153846156,Attack
1138,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,CARRIES,4,0.06153846153846154,Attack
1139,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,CARRIES,25,0.38461538461538464,Attack
1140,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,CARRIES,19,0.2923076923076923,Attack
1141,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,CARRIES,4,0.06153846153846154,Attack
1142,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,CARRIES,2,0.03076923076923077,Attack
1143,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,CARRIES,19,0.2923076923076923,Attack
1144,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,CARRIES,6,0.09230769230769231,Attack
1145,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,CARRIES,16,0.24615384615384617,Attack
1146,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,CARRIES,42,0.6461538461538462,Attack
1147,Will Stuart,Forward,England,Prop,25,15,Bath,CARRIES,15,0.23076923076923078,Attack
1148,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,CARRIES,5,0.07692307692307693,Attack
1149,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,CARRIES,16,0.24615384615384617,Attack
1150,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,CARRIES,19,0.2923076923076923,Attack
1151,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,CARRIES,24,0.36923076923076925,Attack
1152,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,METRES KICKED,1,0.0005181347150259067,Kicking
1153,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,METRES KICKED,0,0.0,Kicking
1154,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,METRES KICKED,0,0.0,Kicking
1155,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,METRES KICKED,383,0.19844559585492227,Kicking
1156,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,METRES KICKED,106,0.054922279792746116,Kicking
1157,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,METRES KICKED,0,0.0,Kicking
1158,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,METRES KICKED,727,0.3766839378238342,Kicking
1159,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,METRES KICKED,0,0.0,Kicking
1160,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,METRES KICKED,0,0.0,Kicking
1161,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,METRES KICKED,0,0.0,Kicking
1162,Andrew Conway,Back,Ireland,Wing,30,27,Munster,METRES KICKED,223,0.11554404145077721,Kicking
1163,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,METRES KICKED,0,0.0,Kicking
1164,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,METRES KICKED,0,0.0,Kicking
1165,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,METRES KICKED,117,0.06062176165803109,Kicking
1166,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,METRES KICKED,0,0.0,Kicking
1167,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,METRES KICKED,1930,1.0,Kicking
1168,Ben Carter,Forward,Wales,Lock,21,5, Dragons,METRES KICKED,0,0.0,Kicking
1169,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,METRES KICKED,0,0.0,Kicking
1170,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,METRES KICKED,167,0.08652849740932643,Kicking
1171,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,METRES KICKED,977,0.5062176165803108,Kicking
1172,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,METRES KICKED,83,0.043005181347150256,Kicking
1173,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,METRES KICKED,0,0.0,Kicking
1174,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,METRES KICKED,0,0.0,Kicking
1175,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,METRES KICKED,0,0.0,Kicking
1176,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,METRES KICKED,0,0.0,Kicking
1177,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,METRES KICKED,568,0.29430051813471503,Kicking
1178,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,METRES KICKED,26,0.013471502590673576,Kicking
1179,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,METRES KICKED,0,0.0,Kicking
1180,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,METRES KICKED,0,0.0,Kicking
1181,Charlie Ewels,Forward,England,Lock,26,26,Bath,METRES KICKED,0,0.0,Kicking
1182,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,METRES KICKED,0,0.0,Kicking
1183,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,METRES KICKED,11,0.005699481865284974,Kicking
1184,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,METRES KICKED,0,0.0,Kicking
1185,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,METRES KICKED,197,0.10207253886010363,Kicking
1186,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,METRES KICKED,0,0.0,Kicking
1187,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,METRES KICKED,0,0.0,Kicking
1188,Cyril Baille,Forward,France,Prop,28,31, Toulouse,METRES KICKED,0,0.0,Kicking
1189,Damian Penaud,Back,France,Wing,25,28, Clermont,METRES KICKED,268,0.138860103626943,Kicking
1190,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,METRES KICKED,1497,0.7756476683937824,Kicking
1191,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,METRES KICKED,0,0.0,Kicking
1192,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,METRES KICKED,0,0.0,Kicking
1193,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,METRES KICKED,50,0.025906735751295335,Kicking
1194,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,METRES KICKED,0,0.0,Kicking
1195,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,METRES KICKED,0,0.0,Kicking
1196,Demba Bamba,Forward,France,Prop,23,20, Lyon,METRES KICKED,0,0.0,Kicking
1197,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,METRES KICKED,0,0.0,Kicking
1198,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,METRES KICKED,0,0.0,Kicking
1199,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,METRES KICKED,45,0.023316062176165803,Kicking
1200,Dylan Cretin,Forward,France,Back row,24,13, Lyon,METRES KICKED,0,0.0,Kicking
1201,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,METRES KICKED,542,0.28082901554404144,Kicking
1202,Elliot Daly,Back,England,Wing,29,52,Saracens,METRES KICKED,188,0.09740932642487046,Kicking
1203,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,METRES KICKED,0,0.0,Kicking
1204,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,METRES KICKED,0,0.0,Kicking
1205,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,METRES KICKED,0,0.0,Kicking
1206,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,METRES KICKED,0,0.0,Kicking
1207,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,METRES KICKED,0,0.0,Kicking
1208,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,METRES KICKED,1402,0.7264248704663212,Kicking
1209,Francois Cros,Forward,France,Back row,27,11, Toulouse,METRES KICKED,0,0.0,Kicking
1210,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,METRES KICKED,0,0.0,Kicking
1211,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,METRES KICKED,259,0.13419689119170986,Kicking
1212,Gabin Villiere,Back,France,Wing,26,8, Toulon,METRES KICKED,95,0.04922279792746114,Kicking
1213,Gael Fickou,Back,France,Centre,27,66, Racing 92,METRES KICKED,88,0.04559585492227979,Kicking
1214,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,METRES KICKED,90,0.046632124352331605,Kicking
1215,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,METRES KICKED,352,0.18238341968911917,Kicking
1216,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,METRES KICKED,0,0.0,Kicking
1217,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,METRES KICKED,99,0.05129533678756477,Kicking
1218,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,METRES KICKED,0,0.0,Kicking
1219,George Furbank,Back,England,Fullback,25,5,Northampton Saints,METRES KICKED,163,0.0844559585492228,Kicking
1220,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,METRES KICKED,0,0.0,Kicking
1221,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,METRES KICKED,0,0.0,Kicking
1222,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,METRES KICKED,0,0.0,Kicking
1223,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,METRES KICKED,0,0.0,Kicking
1224,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,METRES KICKED,0,0.0,Kicking
1225,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,METRES KICKED,0,0.0,Kicking
1226,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,METRES KICKED,0,0.0,Kicking
1227,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,METRES KICKED,0,0.0,Kicking
1228,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,METRES KICKED,0,0.0,Kicking
1229,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,METRES KICKED,577,0.2989637305699482,Kicking
1230,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,METRES KICKED,406,0.21036269430051813,Kicking
1231,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,METRES KICKED,337,0.17461139896373057,Kicking
1232,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,METRES KICKED,0,0.0,Kicking
1233,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,METRES KICKED,0,0.0,Kicking
1234,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,METRES KICKED,0,0.0,Kicking
1235,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,METRES KICKED,0,0.0,Kicking
1236,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,METRES KICKED,24,0.012435233160621761,Kicking
1237,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,METRES KICKED,95,0.04922279792746114,Kicking
1238,James Hume,Back,Ireland,Centre,23,1,Ulster,METRES KICKED,0,0.0,Kicking
1239,James Lowe,Back,Ireland,Wing,29,10,Leinster,METRES KICKED,721,0.3735751295336788,Kicking
1240,James Ryan,Forward,Ireland,Lock,25,40,Leinster,METRES KICKED,0,0.0,Kicking
1241,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,METRES KICKED,0,0.0,Kicking
1242,Jamie George,Back,England,Hooker,31,61,Saracens,METRES KICKED,0,0.0,Kicking
1243,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,METRES KICKED,0,0.0,Kicking
1244,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,METRES KICKED,0,0.0,Kicking
1245,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,METRES KICKED,933,0.483419689119171,Kicking
1246,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,METRES KICKED,0,0.0,Kicking
1247,Joe Launchbury,Forward,England,Lock,30,69,Wasps,METRES KICKED,0,0.0,Kicking
1248,Joe Marchant,Back,England,Centre,25,7,Harlequins,METRES KICKED,22,0.011398963730569948,Kicking
1249,Joe Marler,Forward,England,Prop,31,74,Harlequins,METRES KICKED,0,0.0,Kicking
1250,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,METRES KICKED,318,0.16476683937823836,Kicking
1251,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,METRES KICKED,263,0.13626943005181347,Kicking
1252,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,METRES KICKED,275,0.14248704663212436,Kicking
1253,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,METRES KICKED,66,0.03419689119170984,Kicking
1254,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,METRES KICKED,1,0.0005181347150259067,Kicking
1255,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,METRES KICKED,0,0.0,Kicking
1256,Josh Adams,Back,Wales,Wing,26,35, Cardiff,METRES KICKED,285,0.14766839378238342,Kicking
1257,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,METRES KICKED,0,0.0,Kicking
1258,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,METRES KICKED,0,0.0,Kicking
1259,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,METRES KICKED,0,0.0,Kicking
1260,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,METRES KICKED,151,0.07823834196891191,Kicking
1261,Julien Marchand,Back,France,Hooker,26,16, Toulouse,METRES KICKED,0,0.0,Kicking
1262,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,METRES KICKED,236,0.12227979274611399,Kicking
1263,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,METRES KICKED,0,0.0,Kicking
1264,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,METRES KICKED,0,0.0,Kicking
1265,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,METRES KICKED,99,0.05129533678756477,Kicking
1266,Leon Brown,Forward,Wales,Prop,25,16, Dragons,METRES KICKED,0,0.0,Kicking
1267,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,METRES KICKED,208,0.1077720207253886,Kicking
1268,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,METRES KICKED,0,0.0,Kicking
1269,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,METRES KICKED,412,0.21347150259067357,Kicking
1270,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,METRES KICKED,384,0.19896373056994818,Kicking
1271,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,METRES KICKED,35,0.018134715025906734,Kicking
1272,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,METRES KICKED,271,0.14041450777202072,Kicking
1273,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,METRES KICKED,0,0.0,Kicking
1274,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,METRES KICKED,0,0.0,Kicking
1275,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,METRES KICKED,0,0.0,Kicking
1276,Marco Zanon,Back,Italy,Centre,24,7, Benetton,METRES KICKED,44,0.022797927461139896,Kicking
1277,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,METRES KICKED,980,0.5077720207253886,Kicking
1278,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,METRES KICKED,0,0.0,Kicking
